qid,figure_index,figure_count,session,paper,question,file_name,relative_path,public_url
0580-2023OctNov-Paper23-Q13,0,1,2023OctNov,Paper23,Q13,Q13-Graph.png,2023OctNov/Paper23/Q13/Q13-Graph.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper23/Q13/Q13-Graph.png
0580-2023OctNov-Paper23-Q14,0,1,2023OctNov,Paper23,Q14,Q14-BoxPlot.png,2023OctNov/Paper23/Q14/Q14-BoxPlot.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper23/Q14/Q14-BoxPlot.png
0580-2023OctNov-Paper23-Q19,0,1,2023OctNov,Paper23,Q19,Q19-Geometry.png,2023OctNov/Paper23/Q19/Q19-Geometry.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper23/Q19/Q19-Geometry.png
0580-2023OctNov-Paper23-Q21,0,1,2023OctNov,Paper23,Q21,Q21-Cuboid.png,2023OctNov/Paper23/Q21/Q21-Cuboid.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper23/Q21/Q21-Cuboid.png
0580-2023OctNov-Paper31-Q02,0,4,2023OctNov,Paper31,Q02,Q02-Circle.png,2023OctNov/Paper31/Q02/Q02-Circle.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q02/Q02-Circle.png
0580-2023OctNov-Paper31-Q02,1,4,2023OctNov,Paper31,Q02,Q02-CircleGeometry.png,2023OctNov/Paper31/Q02/Q02-CircleGeometry.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q02/Q02-CircleGeometry.png
0580-2023OctNov-Paper31-Q02,2,4,2023OctNov,Paper31,Q02,Q02-Octagons.png,2023OctNov/Paper31/Q02/Q02-Octagons.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q02/Q02-Octagons.png
0580-2023OctNov-Paper31-Q02,3,4,2023OctNov,Paper31,Q02,Q02-ScaleDrawing.png,2023OctNov/Paper31/Q02/Q02-ScaleDrawing.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q02/Q02-ScaleDrawing.png
0580-2023OctNov-Paper31-Q03,0,2,2023OctNov,Paper31,Q03,Q03-BarChart.png,2023OctNov/Paper31/Q03/Q03-BarChart.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q03/Q03-BarChart.png
0580-2023OctNov-Paper31-Q03,1,2,2023OctNov,Paper31,Q03,Q03-PieChart.png,2023OctNov/Paper31/Q03/Q03-PieChart.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q03/Q03-PieChart.png
0580-2023OctNov-Paper31-Q04,0,3,2023OctNov,Paper31,Q04,Q04-Cuboid.png,2023OctNov/Paper31/Q04/Q04-Cuboid.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q04/Q04-Cuboid.png
0580-2023OctNov-Paper31-Q04,1,3,2023OctNov,Paper31,Q04,Q04-NetGrid.png,2023OctNov/Paper31/Q04/Q04-NetGrid.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q04/Q04-NetGrid.png
0580-2023OctNov-Paper31-Q04,2,3,2023OctNov,Paper31,Q04,Q04-Solids.png,2023OctNov/Paper31/Q04/Q04-Solids.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q04/Q04-Solids.png
0580-2023OctNov-Paper31-Q05,0,1,2023OctNov,Paper31,Q05,Q05-DistanceTimeGraph.png,2023OctNov/Paper31/Q05/Q05-DistanceTimeGraph.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q05/Q05-DistanceTimeGraph.png
0580-2023OctNov-Paper31-Q06,0,1,2023OctNov,Paper31,Q06,Q06-Grid.png,2023OctNov/Paper31/Q06/Q06-Grid.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q06/Q06-Grid.png
0580-2023OctNov-Paper31-Q08,0,2,2023OctNov,Paper31,Q08,Q08-GraphGrid.png,2023OctNov/Paper31/Q08/Q08-GraphGrid.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q08/Q08-GraphGrid.png
0580-2023OctNov-Paper31-Q08,1,2,2023OctNov,Paper31,Q08,Q08-LineL.png,2023OctNov/Paper31/Q08/Q08-LineL.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q08/Q08-LineL.png
0580-2023OctNov-Paper31-Q09,0,2,2023OctNov,Paper31,Q09,Q09-ShadedRegion.png,2023OctNov/Paper31/Q09/Q09-ShadedRegion.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q09/Q09-ShadedRegion.png
0580-2023OctNov-Paper31-Q09,1,2,2023OctNov,Paper31,Q09,Q09-VennDiagram.png,2023OctNov/Paper31/Q09/Q09-VennDiagram.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q09/Q09-VennDiagram.png
